 ,,Timetable Batch C  -  Sem A 2025 - 26,,,,,,
Mo n d a y,10:20  -  11:50,Research Methodology (Dr.Gopi Rathinaraj),,,,,,SCDS
,,AB2  -  201,,,,,,SOL
,12:00  -  01:30,"Modern Political Thought
(Vivek Kumar Yadav)",Basic and foundation of Biotechnology  -  Prof. Subbarao Toleti,Analytical methods and instrumentation (Manobala T) - Sem 5 & Sem 7,Calculus (Beaula) - Sec5                       (Class starts from 12.15pm till 1.45pm),Introduction to Programming (Aravindh) - Sec6   (Class starts from 12.15pm till 1.45pm),Advanced Topics in Cryptography & Blockchain ( Gautham Sekar) ,SAS
,,AB2  -  209,AB2  -  206,AB2 - 201,AB2 - 207,AB2  -  101,AB2  -  205,SOT
,01.30  -  02.00,LUNCH BREAK,,,,,,
,02:00  -  03:25,Software Engineering (Gopinath),Alternate Dispute Resolution (Mr. Sarath Mohan),Self - study (Subba Rao),Environment and Sustainability (Dr.Gopi Rethinaraj),,,SOM
,,AB2  -  205,AB2  -  206,AB2 -  209,AB2  -  207,,,
,03:35  -  5.00,Intellectual Property Rights (Ms. Samudyata Sreenath),Film Appreciation (Dr. Uma Vangal),Analytical Models for Decision Making ( Gautham Sekar) ,,Introduction to Marketing Psychology (Mridula Jobson),,
,,AB2  -  206,AB2  -  210,AB2  -  205,,AB1  - 103,,
,,,,,,,,
Tuesday,10:20  -  11:50,Introduction to Programming (Aravindh) - Sec5,Intellectual Property Rights (Ms. Samudyata Sreenath),Chemistry (Dr.Kalimuthu Karuppanan),Natural Language Processing (Mariya),,,
,,AB2  -  207,AB2  -  206,Biotech Lab,AB1 - 104,,,
,12:00  -  01:30,Interpretation of Statutes (Dr. Jaisy George),Writing and Communications (Akshata Pai)  -  Sec6 ,,,,,
,,AB2  -  206,AB2  -  207,,,,,
,01.30  -  02.00,LUNCH BREAK,,,,,,
,02:00  -  03:25,"Environment and Sustainability  -  AI, SOB , SOT & SAS (Dr.Gopi Rethinaraj)",Computer Vision (Ram Prasad K),Writing and Communications (Manoj)  -  Sec5,,,,
,,AB2  -  207,AB2  -  101,AB2  -  202,,,,
,03:35  -  5.00,"Writing and Communication (SOB, SOT & SAS)  1st year -  Siddhanth",Critical Thinking (Megha)  -  Sec6,Analytical Models for Decision Making ( Gautham Sekar) ,Political Psychology (Sindhuja)_Sem 3 & Sem 5,Writing and Communications (Grace) -  Sec3,,
,,AB1 - 104,AB2  -  207,AB2  -  209,AB2  -  101,AB2 - 202,,
,,,,,,,,
